Name,Type,Status,Score,Author,Completed,Link,Chapter,Website
"Mecchen House: Love, Sisterhood, and Rebirth in An Anime World",Book,Not started,TBD,MajorKerina,,https://www.scribblehub.com/series/124971/mecchen-house-love-sisterhood-and-rebirth-in-an-anime-world/,,Scribblehub
I'm The Princess of The Ice Queen?,Book,Not started,TBD,jonnyboy0719,,https://www.scribblehub.com/series/131573/im-the-princess-of-the-ice-queen/,,Scribblehub
Second Life as the Sister of a Goddess,Book,Not started,TBD,Jemini,,https://www.scribblehub.com/series/16995/second-life-as-the-sister-of-a-goddess/,,Scribblehub
Faraway Survivor,Book,Not started,TBD,Madeus,,https://www.scribblehub.com/series/253998/faraway-survivor/,,Scribblehub
Soulseeker Online,Book,Not started,TBD,Ninichu,,https://www.scribblehub.com/series/146137/soulseeker-online/,,Scribblehub
Reincarnation as a Fox Princess,Book,Not started,TBD,Ryuujisan,,https://www.scribblehub.com/series/293353/reincarnation-as-a-fox-princess/,,Scribblehub
The Demon Princess High School Life,Book,Not started,TBD,mejojo,,https://www.scribblehub.com/series/71729/the-demon-princess-high-school-life/,,Scribblehub
Caring Mother,Book,Not started,TBD,Queen,,https://www.scribblehub.com/series/255452/caring-mother-hiatus/,,Scribblehub
Reincarnated as a Sheep - Path to Becoming the Strongest Demon Lord,Book,Not started,TBD,Frostie,,https://www.scribblehub.com/series/247555/reincarnated-as-a-sheep--path-to-becoming-the-strongest-demon-lord/,,Scribblehub
,,Not started,,,,,,
